contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
None	False	Yeah Warren. Because marching in Brighton worked so well last time, didn't it? #EDLhttp://t.co/UZ4QzfhI	None	289441100781977601	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	289441100781977601	0	None	False	None	None	True	edlnewsxtra	Thu Jan 10 18:38:30 +0000 2013	None	None
None	False	NWI's Cameron Smith threatens to target women http://t.co/Ojj0dVDf #EDL	None	289436083865919489	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	289436083865919489	4	None	False	None	None	True	edlnewsxtra	Thu Jan 10 18:18:34 +0000 2013	None	None
None	False	Casuals United reveal truth behind the Downes documents and the BNP http://t.co/Cn3DcoYJ #EDL	None	289304374461755392	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	289304374461755392	3	None	False	None	None	True	edlnewsxtra	Thu Jan 10 09:35:12 +0000 2013	None	None
None	False	How to speak #EDL: http://t.co/BKjIYkDk	None	289303409268510720	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	289303409268510720	6	None	False	None	None	True	edlnewsxtra	Thu Jan 10 09:31:22 +0000 2013	None	None
None	False	HOPE not hate blog: Violent Thug Behind #EDL Demo http://t.co/niqdipVQ	None	289204276683759616	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	289204276683759616	2	None	False	None	None	True	edlnewsxtra	Thu Jan 10 02:57:27 +0000 2013	None	None
None	False	Casuals United reveal truth behind the Downes documents and the #BNP: http://t.co/iG81tMuW #EDL	None	289089753226297344	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	289089753226297344	4	None	False	None	None	True	edlnewsxtra	Wed Jan 09 19:22:22 +0000 2013	None	None
None	False	Of course, when someone decides to leave the far-right, they don't behave remotely like a cult at all... #EDL http://t.co/Izde3ioy	None	289074377390186496	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	False	None	None	289074377390186496	4	None	False	None	None	True	edlnewsxtra	Wed Jan 09 18:21:16 +0000 2013	None	None
None	False	Are you a failure? If so, you may find some comfort in this poster... #EDL http://t.co/v7l3QKwY	None	289071450600636416	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	False	None	None	289071450600636416	5	None	False	None	None	True	edlnewsxtra	Wed Jan 09 18:09:39 +0000 2013	None	None
None	False	RT @MissLButtercup: @pooblocks @EDLNewsXtra &lt;&lt; Here's a classic from #edl loon @ublocks Somebody dared use the BFP tag. Stupid Squ ...	None	289038558239543297	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	289038558239543297	5	None	False	None	None	edlnewsxtra	Wed Jan 09 15:58:57 +0000 2013	None	None
False	None	False	“@ublocks: @pooblocks you people are really running scared of the EDL. #BFP” &lt; Estimated attendance of last national #EDL demo: 80.	Wed Jan 09 15:23:57 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	edlnewsxtra	None	289029750150811648	None	4	None	289029750150811648	None
None	False	RT @sunny_hundal: Kudos to whoever made this about the EDL's Tommy Robinson (story here: http://t.co/mNfXNsMC) http://t.co/5r0cEVUk	None	288994377735471104	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	288994377735471104	121	None	False	None	None	True	edlnewsxtra	Wed Jan 09 13:03:23 +0000 2013	None	None
None	False	Go easy on this one. He's new. #EDL #BNPhttp://t.co/Uf5Lq88O	None	288989074054856704	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	288989074054856704	1	None	False	None	None	True	edlnewsxtra	Wed Jan 09 12:42:19 +0000 2013	None	None
None	False	It took him ages to find the Nazi font, as well... #EDLhttp://t.co/ul9OSTQq	None	288961801910104064	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	288961801910104064	6	None	False	None	None	True	edlnewsxtra	Wed Jan 09 10:53:56 +0000 2013	None	None
None	False	Yeah, good luck with that one, John... #EDLhttp://t.co/OwCTyjyC	None	288916531067375616	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	288916531067375616	2	None	False	None	None	True	edlnewsxtra	Wed Jan 09 07:54:03 +0000 2013	None	None
None	False	The Army Rumour Service discuss Combined Ex Forces, who later join in on the thread themselves. Essential reading! http://t.co/eTKexkGV #EDL	None	288709143697702912	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	288709143697702912	3	None	False	None	None	True	edlnewsxtra	Tue Jan 08 18:09:58 +0000 2013	None	None
None	False	Kelly Forster. Not all white in the head... #EDLhttp://t.co/z3utJvfp	None	288677227690864641	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	288677227690864641	2	None	False	None	None	True	edlnewsxtra	Tue Jan 08 16:03:09 +0000 2013	None	None
None	False	The hopes, dreams and aspirations of Chris Rice. #EDLhttp://t.co/BvTSHESU	None	288675973111615488	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	288675973111615488	2	None	False	None	None	True	edlnewsxtra	Tue Jan 08 15:58:09 +0000 2013	None	None
None	False	http://t.co/Sy7GPbIM - Further reading: http://t.co/oOmGmzy4 #EDL	None	288673423826223104	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	False	None	None	288673423826223104	0	None	False	None	None	True	edlnewsxtra	Tue Jan 08 15:48:02 +0000 2013	None	None
None	False	#EDL discuss gays. #LGBT #Homophobiahttp://t.co/RGJ1ABIQ	None	288636882001203200	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	288636882001203200	3	None	False	None	None	True	edlnewsxtra	Tue Jan 08 13:22:49 +0000 2013	None	None
