contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
None	False	Brussel houdt NL extra in de gaten! Wel blauw betalen aan knoflooklanden en straks als dank een boete voor NL? #exiteu  http://t.co/nYwxhbiz	None	273834143685672960	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	273834143685672960	490	None	False	None	None	False	geertwilderspvv	Wed Nov 28 17:02:02 +0000 2012	None	None
False	None	False	Na de Grieken hebben nu ook Spaanse banken miljarden aan noodsteun nodig. NL is de pinautomaat van Zuid-Europa. #rutteruineertnederland	Wed Nov 28 13:38:19 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	273782880176574465	None	1418	None	273782880176574465	None
False	None	False	Rutte weer soft voor Grieken maar keihard voor NL. Griekse deal kost ons 1 mld extra. Niet Marx Rutte maar Markos Ruttos #daargaanweweer   	Tue Nov 27 10:08:36 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	273367715006267392	None	1435	None	273367715006267392	None
None	False	Totale idiotie: moslimhalalwoningen in A'dam. Wie dat wil kan beter naar Saudi-Arabie vertrekken. #stopislamisering  http://t.co/wUBF6Muj	None	272312155720794112	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	272312155720794112	778	None	False	None	None	False	geertwilderspvv	Sat Nov 24 12:14:11 +0000 2012	None	None
None	False	Veel gekker moet het niet worden. Honderden miljoenen ook van ons geld naar geluidsschermen voor Poolse koeien. Vragen: http://t.co/nHDUgLbC	None	271926216771129344	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	271926216771129344	414	None	False	None	None	False	geertwilderspvv	Fri Nov 23 10:40:36 +0000 2012	None	None
False	None	False	Vanaf vandaag ook in het Engels: @geertwilders_mp	Thu Nov 22 17:38:38 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	271669029280821248	None	78	None	271669029280821248	None
None	False	Haal in Brussel miljard extra voor onze ouderen. En kort ontw.hulp met 3 mrd om werkenden belastingverlaging te geven! http://t.co/w9P2gPxZ	None	271258431250382849	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	271258431250382849	230	None	False	None	None	False	geertwilderspvv	Wed Nov 21 14:27:04 +0000 2012	None	None
False	None	False	Israeli-Arab conflict is not about land but ideological. Look at Gaza: disengagement 2005 worsened violence. Solution: Jordan is Palestine!	Sun Nov 18 13:58:48 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	270164156353740800	None	97	None	270164156353740800	None
None	False	Ge-wel-dig nieuws! Beste van de hele week, kan geen politiek debat tegenop: Sinterklaas is goed aangekomen in Roermond! http://t.co/7RmlNo70	None	269772789995687936	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	269772789995687936	486	None	False	None	None	False	geertwilderspvv	Sat Nov 17 12:03:39 +0000 2012	None	None
False	None	False	Israel heeft volste recht op zelfverdediging. Hoe harder het terroristentuig van Hamas/Islamic Jihad wordt aangepakt hoe beter. #steunisrael	Fri Nov 16 11:46:27 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	269406072928890880	None	682	None	269406072928890880	None
